gan'zhi'gan 乾之乾：道陟石阪，胡言连蹇。译喑且聋，莫使道通。请谒不行，求事无功。
gan'zhi'kun 乾之坤：招殃来螫，害我邦国；病在手足，不得安息。
gan'zhi'tun 乾之屯：阳孤亢极，多所恨惑，车倾盖亡，身常忧惶；乃得其愿，雌雄相从。
gan'zhi'meng 乾之蒙：鴶鵴鳲鸠，专一无尤。君子是则，长受嘉福。
gan'zhi'xu 乾之需：目瞤足动，喜如其愿，举家蒙宠。
gan'zhi'song 乾之讼：罢马上山，绝无水泉。喉焦唇乾，舌不能言。
gan'zhi'shi 乾之师：仓盈庾忆，宜稼黍稷。国家富有，人民蕃息。
gan'zhi'bi 乾之比：中夜狗吠，盗在墙外。神明佑助，销散皆去。
gan'zhi'xiao xu 乾之小畜：据斗运，枢顺天无忧。与乐并居。
gan'zhi'lv 乾之履：空拳握手，倒地更起。富饶丰衍，快乐无已。
gan'zhi'tai 乾之泰：不风不雨，白日皎皎。宜出驱驰，通理大道。
gan'zhi'pi 乾之否：载日晶光，骖驾六龙。禄命彻天，封为燕王。
gan'zhi'tong'ren 乾之同人：子号索哺，母行求食。反见空巢，訾我长息。
gan'zhi'da'you 乾之大有：上帝之生，福佑日成。修德行惠，乐安且宁。
gan'zhi'qian 乾之谦：山险难登，涧中多石，车驰轊击，载重伤轴。儋负善踬，跌踒右足。
gan'zhi'yu 乾之豫：禹凿龙门，通利水源。东注沧海，民得安存。
gan'zhi'sui 乾之随：乘龙上天，两蛇为辅，涌跃云中，游观沧海，安乐长处。
gan'zhi'gu 乾之蛊：彭祖九子，据德不殆。南山松柏，长受嘉福。
gan'zhi'lin 乾之临：南山昊天，刺政关身。疾悲无辜，背憎为仇。
gan'zhi'guan 乾之观：江河淮海，天之奥府。众利所聚，可以饶有。乐我君子，百福是受。
gan'zhi'ke'shi 乾之噬嗑：坚冰黄鸟，啼哀悲愁，不见甘粒，但观藜蒿，数惊鸷鸟，为我心忧。
gan'zhi'ben 乾之贲：室如悬磬，既危且殆；早见之士，依山谷处。
gan'zhi'bo 乾之剥：大禹式路，蚩尤除道。周匝万里，不危不殆，见其所使，无所不在。
gan'zhi'fu 乾之复：三人为旅，俱归北海，入门上堂，拜谒王母，劳赐我酒。
gan'zhi'wu'wang 乾之无妄：传言相误，非干径路。鸣鼓逐狐，不知迹处。
gan'zhi'da'xu 乾之大畜：三羊争雌，相逐奔驰，终日不食，精气劳疲。
gan'zhi'yi 乾之颐：纯服黄裳，戴上与兴。德义既生，天下归仁。
gan'zhi'da'guo 乾之大过：桀跖并处，人民愁苦。拥兵荷粮，战于齐鲁。
gan'zhi'kan 乾之坎：黄鸟采菉，既嫁不荅。念我父兄，思复邦国。
gan'zhi'li 乾之离：胎生孚乳，长息成就。充满帝室，家国昌富。
gan'zhi'xian 乾之咸：三人求橘，反得丹穴。女贵以富，黄金百镒。
gan'zhi'heng 乾之恒：东山西岳，会合俱食，百家送从，以成恩福。
gan'zhi'dun 乾之遯：弱鸡无距，与鹊交鬭，翅折目盲，为鸠所伤。
gan'zhi'da'zhaung 乾之大壮：隙大墙坏，蠹众木折。狼虎为政，天降罪罚。高弑望夷，胡亥以毙。
gan'zhi'jin 乾之晋：三痴俱走，迷路失道，惑不知归，反入患口。
gan'zhi'ming'yi 乾之明夷：弓矢俱张，把弹折弦，丸发不至，道遇害患。
gan'zhi'jia'ren 乾之家人：三女求夫，伺候山隅，不见复关，长思叹忧。
gan'zhi'kui 乾之睽：阳旱炎炎，伤害禾谷，穑人无食，耕夫叹息。
gan'zhi'jian 乾之蹇：骑?逐羊，不见所望，径涉虎穴，亡羊失羔。
gan'zhi'jie 乾之解：暗昧冥语，相传诖误。鬼魅所舍，谁知卧处。
gan'zhi'sun 乾之损：姬姜祥淑，二人偶食，论仁议福，以安王室。
gan'zhi'yi 乾之益：公孙驾骊，载聘东齐。延陵说产，遗季紵衣。
gan'zhi'kuai 乾之夬：孤竹之墟，失妇亡夫。伤于蒺藜，不见少妻。东郭棠姜，武氏以亡。
gan'zhi'gou 乾之姤：仁政不暴，凤凰来舍。四时顺节，民安其处。
gan'zhi'cui 乾之萃：任劣力薄，孱驽恐怯，如猬见鹊，不敢拒格。
gan'zhi'sheng 乾之升：卫侯东游，惑于少姬。亡我考妣，久迷不来。
gan'zhi'kun 乾之困：噂噂所言，莫如我垣。欢喜坚固，可以长安。
gan'zhi'jing 乾之井：鸑鸣岐山，龟应幽渊。男女媾精，万物化生。文王以成，为周开庭。
gan'zhi'ge 乾之革：玄黄虺隤，行者劳疲。役夫憔悴，逾时不归。
gan'zhi'ding 乾之鼎：弱足刖跟，不利出门。市贾不利，折亡为患。
gan'zhi'zhen 乾之震：悬貆素餐，居非其安。失舆剥庐，休坐徒居。
gan'zhi'gen 乾之艮：民怯城恶，奸人所伏。寇贼大至，入我郛郭，妻子俘获。
gan'zhi'jian 乾之渐：阳低头，阴仰首。水为灾，伤我足。进不利，难生子。
gan'zhi'gui'mei 乾之归妹：背北相憎，心意不同，如火与金。
gan'zhi'feng 乾之丰：太微帝室，黄帝所宜。藩屏周卫，不可得入，常安无患。
gan'zhi'lv 乾之旅：茧栗牺牲，敬享鬼神。神嗜饮食，受福多孙。
gan'zhi'xun 乾之巽：出门逢恶，与祸为怨。更相击刺，伤我手端。
gan'zhi'dui 乾之兑：鷁飞中退，举事不进，众人乱溃。
gan'zhi'huan 乾之涣：跛踦相随，日暮牛罢。陵迟后旅，失利亡雌。
gan'zhi'jie 乾之节：龙角博预，位至公卿。世禄久长，起动安宁。
gan'zhi'zhong'fu 乾之中孚：舜升大禹，石夷之野。徵诣王庭，并治水土。
gan'zhi'xiao'guo 乾之小过：从风放火，荻芝俱死。三害集房，叔子中伤。
gan'zhi'ji'ji 乾之既济：梗生荆山，命制输班。袍衣剥脱，夏热冬寒。饥饿枯槁，莫人莫怜。
gan'zhi'wei'ji 乾之未济：长面大鼻，来解己忧。遗吾福子，与我惠妻，惠吾嘉喜。
kun'zhi'kun 坤之坤：不风不雨，白日皎皎。宜出驱驰，通利大道。
kun'zhi'gan 坤之乾：谷风布气，万物出生。萌庶长养，华叶茂成。
kun'zhi'tun 坤之屯：苍龙单独，与石相触。摧折两角，室家不足。
kun'zhi'meng 坤之蒙：城上有乌，自名破家。招呼酖毒，为国患灾。
kun'zhi'xu 坤之需：霜降闭户，蛰虫隐处。不见日月，与死为伍。
kun'zhi'song 坤之讼：天之德室，温仁受福。衣裳所在，凶恶不起。
kun'zhi'shi 坤之师：皇陛九重，绝不可登。未见王公，谓天盖高。
kun'zhi'bi 坤之比：孔德如玉，出于幽谷。升高鼓翼，辉光照国。
kun'zhi'xiao'xu 坤之小畜：五轭四轨，复得饶有。陈力就列，驺虞悦喜。
kun'zhi'lv 坤之履：四足无角，君子所服。南征述职，以惠我国。
kun'zhi'tai 坤之泰：雷行相逐，无有攸息。战于平陆，为夷所覆。
kun'zhi'pi 坤之否：六龙争极，服在下饰。谨慎管钥，结禁毋出。
kun'zhi'tong'ren 坤之同人：长男少女，相向共语，福禄欢喜。
kun'zhi'da'you 坤之大有：奸延恶人，使德不通。炎火为殃，禾谷大伤。
kun'zhi'qian 坤之谦：修其翰翼，随风向北。至虞夏国，与舜相得。年岁大乐，邑无盗贼。
kun'zhi'yu 坤之豫：铅刀攻玉，坚不可得。尽我筋力，眡蠒为疾。
kun'zhi'sui 坤之随：举被覆目，不见日月。衣裳簠簋，就长夜室。
kun'zhi'gu 坤之蛊：贼仁伤德，天怒不福。斩刈宗社，失其邦域。
kun'zhi'lin 坤之临：白龙赤虎，战鬭俱怒。蚩尤败走，死于鱼口。
kun'zhi'guan 坤之观：北辰紫宫，衣冠立中。含和建德，常受天福。
kun'zhi'ke'shi 坤之噬嗑：稷为尧使，西见王母。拜请百福，赐我善子。
kun'zhi'ben 坤之贲：三人异趣，反覆迷惑。一身五心，乱无所得。
kun'zhi'bo 坤之剥：南山大玃，盗我媚妾。怯不敢逐，退而独宿。
kun'zhi'fu 坤之复：众鬼所趋，反作大怪。九身无头，魂惊魄去。不可以居。
kun'zhi'wu'wang 坤之无妄：延头远望，眯为目疾。不见叔姬，使伯心忧。
kun'zhi'da'xu 坤之大畜：典册法书，藏在兰台。虽遭乱溃，独不遇灾。
kun'zhi'yi 坤之颐：自卫反鲁，时不我与。冰炭异室，仁道隔塞。
kun'zhi'da'guo 坤之大过：瘤瘿秃疥，为身疮害。疾病癃残，常不远逮。
kun'zhi'kan 坤之坎：东齐郭卢，嫁于洛都。俊良美好，媒利过倍。
kun'zhi'li 坤之离：齐鲁争言，战于龙门。构怨连祸，三世不安。
kun'zhi'xian 坤之咸：膏泽肥壤，农人丰敌。利居长安，历世无患。
kun'zhi'heng 坤之恒：仓盈庾亿，宜种黍稷。年丰岁熟，民得安息。
kun'zhi'dun 坤之遯：鸱鴞破斧，邦人危殆。赖其忠德，转祸为福，倾危复立。
kun'zhi'da'zhaung 坤之大壮：岁饥无年，虐政害民。乾溪骊山，秦楚结冤。
kun'zhi'jin 坤之晋：栵洁累累，缔结难解。嫫母衒嫁，媒不得坐，自为身祸。
kun'zhi'ming'yi 坤之明夷：訾陬开门，鹤鸣弹冠。章甫进用，舞韶和鸾。三人翼事，国无灾患。
kun'zhi'jia'ren 坤之家人：弟妹合居，与类相扶。愿慕群丑，不离其处。
kun'zhi'kui 坤之睽：邯郸反言，兄弟生患。涉叔忧恨，卒死不还。
kun'zhi'jian 坤之蹇：三人逐兔，各争有得。爱亡善走，多获鹿子。
kun'zhi'guan 坤之解：北辰紫宫，衣冠立中。含和建德，常受天福。
kun'zhi'sun 坤之损：拜跪请免，不得其哺。俛首衘枚，低头北去。
